Timestamp: 24-Oct-2014 12:41:36
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 10
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 2500
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,5.0,3.0,2500
2.0,5.0,3.0,2366
3.0,4.0,3.0,1890
4.0,3.0,3.0,1395
5.0,2.0,3.0,1054
6.0,2.0,3.0,888
7.0,2.0,3.0,787
8.0,2.0,3.0,718
9.0,1.0,3.0,675
10.0,1.0,3.0,650
11.0,1.0,3.0,625
12.0,1.0,3.0,610
13.0,1.0,3.0,594
14.0,1.0,3.0,578
15.0,1.0,3.0,575
16.0,1.0,3.0,571
17.0,1.0,3.0,567
18.0,1.0,3.0,554
19.0,1.0,3.0,544
20.0,1.0,3.0,535
21.0,1.0,3.0,527
22.0,1.0,3.0,522
23.0,1.0,3.0,521
24.0,1.0,3.0,520
25.0,1.0,3.0,512
26.0,1.0,3.0,508
27.0,1.0,3.0,505
28.0,1.0,3.0,501
29.0,1.0,3.0,498
30.0,1.0,3.0,497
31.0,1.0,3.0,495
32.0,1.0,3.0,494
33.0,1.0,3.0,491
34.0,1.0,3.0,490
35.0,1.0,3.0,489
36.0,1.0,3.0,488
37.0,1.0,3.0,488
38.0,1.0,3.0,488
39.0,1.0,3.0,488
40.0,1.0,3.0,487
41.0,1.0,3.0,486
42.0,1.0,3.0,485
43.0,1.0,3.0,485
44.0,1.0,3.0,485
45.0,1.0,3.0,484
46.0,1.0,3.0,484
47.0,1.0,3.0,483
48.0,1.0,3.0,483
49.0,1.0,3.0,483
50.0,1.0,3.0,483
51.0,1.0,3.0,483
52.0,1.0,3.0,483
53.0,1.0,3.0,483
54.0,1.0,3.0,483
55.0,1.0,3.0,483
56.0,1.0,3.0,483
57.0,1.0,3.0,483
58.0,1.0,3.0,483
59.0,1.0,3.0,483
60.0,1.0,3.0,483
61.0,1.0,3.0,483
62.0,1.0,3.0,483
63.0,1.0,3.0,483
64.0,1.0,3.0,483
65.0,1.0,3.0,483
66.0,1.0,3.0,483
67.0,1.0,3.0,483
68.0,1.0,3.0,483
69.0,1.0,3.0,483
70.0,1.0,3.0,483
71.0,1.0,3.0,483
72.0,1.0,3.0,483
73.0,1.0,3.0,483
74.0,1.0,3.0,483
75.0,1.0,3.0,483
76.0,1.0,3.0,483
77.0,1.0,3.0,483
78.0,1.0,3.0,483
79.0,1.0,3.0,483
80.0,1.0,3.0,483
81.0,1.0,3.0,483
82.0,1.0,3.0,483
83.0,1.0,3.0,483
84.0,1.0,3.0,483
85.0,1.0,3.0,483
86.0,1.0,3.0,483
87.0,1.0,3.0,483
88.0,1.0,3.0,483
89.0,1.0,3.0,483
90.0,1.0,3.0,483
91.0,1.0,3.0,483
92.0,1.0,3.0,483
93.0,1.0,3.0,483
94.0,1.0,3.0,483
95.0,1.0,3.0,483
96.0,1.0,3.0,483
97.0,1.0,3.0,483
98.0,1.0,3.0,483
99.0,1.0,3.0,483
100.0,1.0,3.0,483
101.0,1.0,3.0,483
102.0,1.0,3.0,483
103.0,1.0,3.0,483
104.0,1.0,3.0,483
105.0,1.0,3.0,483
106.0,1.0,3.0,483
107.0,1.0,3.0,483
108.0,1.0,3.0,483
109.0,1.0,3.0,483
110.0,1.0,3.0,483
111.0,1.0,3.0,483
112.0,1.0,3.0,483
113.0,1.0,3.0,483
114.0,1.0,3.0,483
115.0,1.0,3.0,483
116.0,1.0,3.0,483
117.0,1.0,3.0,483
118.0,1.0,3.0,483
119.0,1.0,3.0,483
120.0,1.0,3.0,483
121.0,1.0,3.0,483
122.0,1.0,3.0,483
123.0,1.0,3.0,483
124.0,1.0,3.0,483
125.0,1.0,3.0,483
126.0,1.0,3.0,483
127.0,1.0,3.0,483
128.0,1.0,3.0,483
129.0,1.0,3.0,483
130.0,1.0,3.0,483
131.0,1.0,3.0,483
132.0,1.0,3.0,483
133.0,1.0,3.0,483
134.0,1.0,3.0,483
135.0,1.0,3.0,483
136.0,1.0,3.0,483
137.0,1.0,3.0,483
138.0,1.0,3.0,483
139.0,1.0,3.0,483
140.0,1.0,3.0,483
141.0,1.0,3.0,483
142.0,1.0,3.0,483
143.0,1.0,3.0,483
144.0,1.0,3.0,483
145.0,1.0,3.0,483
146.0,1.0,3.0,483
147.0,1.0,3.0,483
148.0,1.0,3.0,483
149.0,1.0,3.0,483
150.0,1.0,3.0,483
151.0,1.0,3.0,483
152.0,1.0,3.0,483
153.0,1.0,3.0,483
154.0,1.0,3.0,483
155.0,1.0,3.0,483
156.0,1.0,3.0,483
157.0,1.0,3.0,483
158.0,1.0,3.0,483
159.0,1.0,3.0,483
160.0,1.0,3.0,483
161.0,1.0,3.0,483
162.0,1.0,3.0,483
163.0,1.0,3.0,483
164.0,1.0,3.0,483
165.0,1.0,3.0,483
166.0,1.0,3.0,483
167.0,1.0,3.0,483
168.0,1.0,3.0,483
169.0,1.0,3.0,483
170.0,1.0,3.0,483
171.0,1.0,3.0,483
172.0,1.0,3.0,483
173.0,1.0,3.0,483
174.0,1.0,3.0,483
175.0,1.0,3.0,483
176.0,1.0,3.0,483
177.0,1.0,3.0,483
178.0,1.0,3.0,483
179.0,1.0,3.0,483
180.0,1.0,3.0,483
181.0,1.0,3.0,483
182.0,1.0,3.0,483
183.0,1.0,3.0,483
184.0,1.0,3.0,483
185.0,1.0,3.0,483
186.0,1.0,3.0,483
187.0,1.0,3.0,483
188.0,1.0,3.0,483
189.0,1.0,3.0,483
190.0,1.0,3.0,483
191.0,1.0,3.0,483
192.0,1.0,3.0,483
193.0,1.0,3.0,483
194.0,1.0,3.0,483
195.0,1.0,3.0,483
196.0,1.0,3.0,483
197.0,1.0,3.0,483
198.0,1.0,3.0,483
199.0,1.0,3.0,483
200.0,1.0,3.0,483
201.0,1.0,3.0,483
202.0,1.0,3.0,483
203.0,1.0,3.0,483
204.0,1.0,3.0,483
205.0,1.0,3.0,483
206.0,1.0,3.0,483
207.0,1.0,3.0,483
208.0,1.0,3.0,483
209.0,1.0,3.0,483
210.0,1.0,3.0,483
211.0,1.0,3.0,483
212.0,1.0,3.0,483
213.0,1.0,3.0,483
214.0,1.0,3.0,483
215.0,1.0,3.0,483
216.0,1.0,3.0,483
217.0,1.0,3.0,483
218.0,1.0,3.0,483
219.0,1.0,3.0,483
220.0,1.0,3.0,483
221.0,1.0,3.0,483
222.0,1.0,3.0,483
223.0,1.0,3.0,483
224.0,1.0,3.0,483
225.0,1.0,3.0,483
226.0,1.0,3.0,483
227.0,1.0,3.0,483
228.0,1.0,3.0,483
229.0,1.0,3.0,483
230.0,1.0,3.0,483
231.0,1.0,3.0,483
232.0,1.0,3.0,483
233.0,1.0,3.0,483
234.0,1.0,3.0,483
235.0,1.0,3.0,483
236.0,1.0,3.0,483
237.0,1.0,3.0,483
238.0,1.0,3.0,483
239.0,1.0,3.0,483
240.0,1.0,3.0,483
241.0,1.0,3.0,483
242.0,1.0,3.0,483
243.0,1.0,3.0,483
244.0,1.0,3.0,483
245.0,1.0,3.0,483
246.0,1.0,3.0,483
247.0,1.0,3.0,483
248.0,1.0,3.0,483
249.0,1.0,3.0,483
250.0,1.0,3.0,483
251.0,1.0,3.0,483
252.0,1.0,3.0,483
253.0,1.0,3.0,483
254.0,1.0,3.0,483
255.0,1.0,3.0,483
256.0,1.0,3.0,483
257.0,1.0,3.0,483
258.0,1.0,3.0,483
259.0,1.0,3.0,483
260.0,1.0,3.0,483
261.0,1.0,3.0,483
262.0,1.0,3.0,483
263.0,1.0,3.0,483
264.0,1.0,3.0,483
265.0,1.0,3.0,483
266.0,1.0,3.0,483
267.0,1.0,3.0,483
268.0,1.0,3.0,483
269.0,1.0,3.0,483
270.0,1.0,3.0,483
271.0,1.0,3.0,483
272.0,1.0,3.0,483
273.0,1.0,3.0,483
274.0,1.0,3.0,483
275.0,1.0,3.0,483
276.0,1.0,3.0,483
277.0,1.0,3.0,483
278.0,1.0,3.0,483
279.0,1.0,3.0,483
280.0,1.0,3.0,483
281.0,1.0,3.0,483
282.0,1.0,3.0,483
283.0,1.0,3.0,483
284.0,1.0,3.0,483
285.0,1.0,3.0,483
286.0,1.0,3.0,483
287.0,1.0,3.0,483
288.0,1.0,3.0,483
289.0,1.0,3.0,483
290.0,1.0,3.0,483
291.0,1.0,3.0,483
292.0,1.0,3.0,483
293.0,1.0,3.0,483
294.0,1.0,3.0,483
295.0,1.0,3.0,483
296.0,1.0,3.0,483
297.0,1.0,3.0,483
298.0,1.0,3.0,483
299.0,1.0,3.0,483
300.0,1.0,3.0,483
301.0,1.0,3.0,483
302.0,1.0,3.0,483
303.0,1.0,3.0,483
304.0,1.0,3.0,483
305.0,1.0,3.0,483
306.0,1.0,3.0,483
307.0,1.0,3.0,483
308.0,1.0,3.0,483
309.0,1.0,3.0,483
310.0,1.0,3.0,483
311.0,1.0,3.0,483
312.0,1.0,3.0,483
313.0,1.0,3.0,483
314.0,1.0,3.0,483
315.0,1.0,3.0,483
316.0,1.0,3.0,483
317.0,1.0,3.0,483
318.0,1.0,3.0,483
319.0,1.0,3.0,483
320.0,1.0,3.0,483
321.0,1.0,3.0,483
322.0,1.0,3.0,483
323.0,1.0,3.0,483
324.0,1.0,3.0,483
325.0,1.0,3.0,483
