Timestamp: 14-Nov-2014 23:10:52
DelayedPheromone: false
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 50
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120


"tick","Avg. Path Lengh"
1.0,1083.0
2.0,1000.0
3.0,975.0
4.0,975.0
5.0,949.0
6.0,960.0
7.0,947.0
8.0,948.0
9.0,945.0
10.0,960.0
11.0,953.0
12.0,954.0
13.0,954.0
14.0,949.0
15.0,949.0
16.0,960.0
17.0,956.0
18.0,957.0
19.0,932.0
20.0,946.0
21.0,951.0
22.0,969.0
23.0,968.0
24.0,940.0
25.0,979.0
26.0,963.0
27.0,962.0
28.0,961.0
29.0,970.0
30.0,959.0
31.0,963.0
32.0,993.0
33.0,957.0
34.0,958.0
35.0,960.0
36.0,970.0
37.0,951.0
38.0,954.0
39.0,947.0
40.0,953.0
41.0,945.0
42.0,954.0
43.0,943.0
44.0,957.0
45.0,941.0
46.0,951.0
47.0,962.0
48.0,949.0
49.0,944.0
50.0,950.0
51.0,967.0
52.0,955.0
53.0,961.0
54.0,948.0
55.0,951.0
56.0,946.0
57.0,951.0
58.0,960.0
59.0,956.0
60.0,945.0
61.0,949.0
62.0,954.0
63.0,948.0
64.0,955.0
65.0,951.0
66.0,945.0
67.0,959.0
68.0,964.0
69.0,951.0
70.0,951.0
71.0,946.0
72.0,953.0
73.0,943.0
74.0,950.0
75.0,963.0
76.0,950.0
77.0,938.0
78.0,963.0
79.0,940.0
80.0,932.0
81.0,946.0
82.0,943.0
83.0,934.0
84.0,960.0
85.0,958.0
86.0,940.0
87.0,927.0
88.0,950.0
89.0,958.0
90.0,960.0
91.0,955.0
92.0,921.0
93.0,951.0
94.0,962.0
95.0,956.0
96.0,935.0
97.0,936.0
98.0,935.0
99.0,952.0
100.0,949.0
101.0,950.0
102.0,952.0
103.0,946.0
104.0,927.0
105.0,946.0
106.0,950.0
107.0,942.0
108.0,949.0
109.0,948.0
110.0,940.0
111.0,942.0
112.0,952.0
113.0,943.0
114.0,944.0
115.0,933.0
116.0,959.0
117.0,937.0
118.0,942.0
119.0,972.0
120.0,947.0
121.0,944.0
122.0,955.0
123.0,942.0
124.0,942.0
125.0,959.0
126.0,948.0
127.0,954.0
128.0,938.0
129.0,957.0
130.0,939.0
131.0,928.0
132.0,945.0
133.0,926.0
134.0,930.0
135.0,926.0
136.0,958.0
137.0,954.0
138.0,939.0
139.0,945.0
140.0,945.0
141.0,928.0
142.0,941.0
143.0,935.0
144.0,945.0
145.0,958.0
146.0,954.0
147.0,938.0
148.0,960.0
149.0,933.0
150.0,927.0
151.0,949.0
152.0,929.0
153.0,949.0
154.0,940.0
155.0,939.0
156.0,932.0
157.0,951.0
158.0,938.0
159.0,935.0
160.0,960.0
161.0,952.0
162.0,942.0
163.0,936.0
164.0,943.0
165.0,957.0
166.0,933.0
167.0,949.0
168.0,948.0
169.0,933.0
170.0,937.0
171.0,935.0
172.0,918.0
173.0,933.0
174.0,947.0
175.0,932.0
176.0,933.0
177.0,938.0
178.0,938.0
179.0,949.0
180.0,957.0
181.0,933.0
182.0,917.0
183.0,947.0
184.0,934.0
185.0,948.0
186.0,956.0
187.0,943.0
188.0,949.0
189.0,954.0
190.0,948.0
191.0,934.0
192.0,938.0
193.0,938.0
194.0,936.0
195.0,930.0
196.0,926.0
197.0,937.0
198.0,945.0
199.0,928.0
200.0,942.0
201.0,933.0
202.0,951.0
203.0,937.0
204.0,963.0
205.0,942.0
206.0,936.0
207.0,941.0
208.0,926.0
209.0,929.0
210.0,945.0
211.0,931.0
212.0,933.0
213.0,942.0
214.0,929.0
215.0,930.0
216.0,951.0
217.0,927.0
218.0,936.0
219.0,939.0
220.0,940.0
221.0,948.0
222.0,941.0
223.0,926.0
224.0,923.0
225.0,951.0
226.0,948.0
227.0,927.0
228.0,923.0
229.0,935.0
230.0,956.0
231.0,935.0
232.0,942.0
233.0,927.0
234.0,969.0
235.0,937.0
236.0,932.0
237.0,949.0
