Timestamp: 14-Nov-2014 16:21:48
DickAnts: false
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 40
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120


"tick","Avg. Path Lengh"
1.0,450.0
2.0,371.0
3.0,383.0
4.0,381.0
5.0,360.0
6.0,355.0
7.0,353.0
8.0,359.0
9.0,349.0
10.0,353.0
11.0,360.0
12.0,356.0
13.0,351.0
14.0,357.0
15.0,358.0
16.0,358.0
17.0,357.0
18.0,356.0
19.0,349.0
20.0,345.0
21.0,354.0
22.0,344.0
23.0,363.0
24.0,353.0
25.0,346.0
26.0,353.0
27.0,341.0
28.0,355.0
29.0,352.0
30.0,352.0
31.0,362.0
32.0,354.0
33.0,361.0
34.0,352.0
35.0,359.0
36.0,359.0
37.0,349.0
38.0,355.0
39.0,355.0
40.0,362.0
41.0,367.0
42.0,353.0
43.0,360.0
44.0,343.0
45.0,353.0
46.0,364.0
47.0,364.0
48.0,353.0
49.0,355.0
50.0,353.0
51.0,364.0
52.0,358.0
53.0,357.0
54.0,359.0
55.0,357.0
56.0,370.0
57.0,354.0
58.0,343.0
59.0,353.0
60.0,351.0
61.0,349.0
62.0,356.0
63.0,352.0
64.0,339.0
65.0,350.0
66.0,343.0
67.0,328.0
68.0,356.0
69.0,353.0
70.0,364.0
71.0,359.0
72.0,358.0
73.0,353.0
74.0,361.0
75.0,351.0
76.0,357.0
77.0,347.0
78.0,354.0
79.0,338.0
80.0,348.0
81.0,353.0
82.0,360.0
83.0,352.0
84.0,338.0
85.0,346.0
86.0,349.0
87.0,345.0
88.0,347.0
89.0,357.0
90.0,352.0
91.0,344.0
92.0,346.0
93.0,342.0
94.0,350.0
95.0,359.0
96.0,342.0
97.0,353.0
98.0,351.0
99.0,359.0
100.0,351.0
101.0,349.0
102.0,350.0
103.0,355.0
104.0,346.0
105.0,347.0
106.0,354.0
107.0,350.0
108.0,337.0
109.0,343.0
110.0,352.0
111.0,363.0
112.0,356.0
113.0,340.0
114.0,342.0
115.0,353.0
116.0,355.0
117.0,350.0
118.0,351.0
119.0,343.0
120.0,357.0
121.0,342.0
122.0,356.0
123.0,360.0
124.0,351.0
125.0,344.0
126.0,351.0
127.0,360.0
128.0,349.0
129.0,365.0
130.0,354.0
131.0,349.0
132.0,349.0
133.0,350.0
134.0,334.0
135.0,345.0
136.0,339.0
137.0,349.0
138.0,345.0
139.0,350.0
140.0,343.0
141.0,345.0
142.0,354.0
