Timestamp: 14-Nov-2014 22:41:15
DelayedPheromone: false
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 40
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120


"tick","Avg. Path Lengh"
1.0,467.0
2.0,436.0
3.0,435.0
4.0,441.0
5.0,437.0
6.0,438.0
7.0,433.0
8.0,427.0
9.0,430.0
10.0,431.0
11.0,432.0
12.0,440.0
13.0,422.0
14.0,426.0
15.0,428.0
16.0,431.0
17.0,432.0
18.0,428.0
19.0,432.0
20.0,440.0
21.0,437.0
22.0,430.0
23.0,432.0
24.0,435.0
25.0,426.0
26.0,421.0
27.0,425.0
28.0,433.0
29.0,432.0
30.0,428.0
31.0,432.0
32.0,434.0
33.0,438.0
34.0,431.0
35.0,432.0
36.0,435.0
37.0,441.0
38.0,434.0
39.0,437.0
40.0,429.0
41.0,421.0
42.0,434.0
43.0,435.0
44.0,444.0
45.0,434.0
46.0,432.0
47.0,436.0
48.0,431.0
49.0,425.0
50.0,428.0
51.0,428.0
52.0,436.0
53.0,434.0
54.0,429.0
55.0,429.0
56.0,431.0
57.0,430.0
58.0,431.0
59.0,430.0
60.0,419.0
61.0,436.0
62.0,430.0
63.0,431.0
64.0,426.0
65.0,432.0
66.0,430.0
67.0,422.0
68.0,428.0
69.0,431.0
70.0,434.0
71.0,430.0
72.0,430.0
73.0,425.0
74.0,437.0
75.0,431.0
76.0,432.0
77.0,435.0
78.0,433.0
79.0,430.0
80.0,428.0
81.0,435.0
82.0,428.0
83.0,428.0
84.0,431.0
85.0,426.0
86.0,434.0
87.0,430.0
88.0,424.0
89.0,437.0
90.0,426.0
91.0,432.0
92.0,429.0
93.0,428.0
94.0,433.0
95.0,434.0
96.0,437.0
97.0,436.0
98.0,437.0
99.0,431.0
100.0,430.0
101.0,427.0
102.0,434.0
103.0,434.0
104.0,423.0
105.0,427.0
106.0,432.0
107.0,426.0
108.0,432.0
109.0,436.0
110.0,435.0
111.0,439.0
112.0,430.0
113.0,427.0
114.0,436.0
115.0,438.0
116.0,432.0
117.0,433.0
118.0,435.0
119.0,437.0
120.0,430.0
121.0,433.0
122.0,428.0
123.0,438.0
124.0,429.0
125.0,428.0
126.0,427.0
127.0,437.0
128.0,440.0
129.0,422.0
130.0,433.0
131.0,426.0
132.0,438.0
133.0,432.0
134.0,440.0
135.0,433.0
136.0,431.0
137.0,430.0
138.0,429.0
139.0,427.0
140.0,437.0
141.0,437.0
142.0,428.0
143.0,434.0
144.0,437.0
145.0,438.0
146.0,426.0
147.0,429.0
148.0,431.0
149.0,428.0
150.0,436.0
151.0,430.0
152.0,439.0
153.0,434.0
154.0,432.0
155.0,446.0
156.0,436.0
157.0,434.0
158.0,433.0
159.0,445.0
160.0,436.0
161.0,438.0
162.0,443.0
163.0,432.0
164.0,442.0
165.0,432.0
166.0,432.0
167.0,432.0
