Timestamp: 14-Nov-2014 23:06:30
DelayedPheromone: true
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 50
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120


"tick","Avg. Path Lengh"
1.0,1250.0
2.0,1004.0
3.0,977.0
4.0,952.0
5.0,953.0
6.0,947.0
7.0,946.0
8.0,937.0
9.0,938.0
10.0,950.0
11.0,942.0
12.0,944.0
13.0,952.0
14.0,946.0
15.0,932.0
16.0,945.0
17.0,925.0
18.0,954.0
19.0,940.0
20.0,964.0
21.0,949.0
22.0,939.0
23.0,955.0
24.0,941.0
25.0,928.0
26.0,940.0
27.0,934.0
28.0,927.0
29.0,955.0
30.0,940.0
31.0,944.0
32.0,953.0
33.0,955.0
34.0,939.0
35.0,946.0
36.0,956.0
37.0,940.0
38.0,947.0
39.0,945.0
40.0,939.0
41.0,948.0
42.0,951.0
43.0,941.0
44.0,927.0
45.0,932.0
46.0,945.0
47.0,949.0
48.0,950.0
49.0,929.0
50.0,935.0
51.0,942.0
52.0,933.0
53.0,940.0
54.0,935.0
55.0,937.0
56.0,965.0
57.0,933.0
58.0,946.0
59.0,946.0
60.0,933.0
61.0,922.0
62.0,931.0
63.0,933.0
64.0,938.0
65.0,941.0
66.0,935.0
67.0,933.0
68.0,957.0
69.0,940.0
70.0,933.0
71.0,948.0
72.0,941.0
73.0,948.0
74.0,920.0
75.0,936.0
76.0,936.0
77.0,945.0
78.0,937.0
79.0,952.0
80.0,942.0
81.0,931.0
82.0,934.0
83.0,945.0
84.0,934.0
85.0,943.0
86.0,929.0
87.0,939.0
88.0,938.0
89.0,932.0
90.0,935.0
91.0,929.0
92.0,942.0
93.0,947.0
94.0,936.0
95.0,944.0
96.0,935.0
97.0,939.0
98.0,942.0
99.0,956.0
100.0,949.0
101.0,932.0
102.0,952.0
103.0,936.0
104.0,925.0
105.0,951.0
106.0,938.0
107.0,932.0
108.0,930.0
109.0,936.0
110.0,935.0
111.0,960.0
112.0,937.0
113.0,951.0
114.0,943.0
115.0,946.0
116.0,931.0
117.0,928.0
118.0,946.0
119.0,946.0
120.0,933.0
121.0,938.0
122.0,948.0
123.0,963.0
124.0,952.0
125.0,930.0
126.0,941.0
127.0,933.0
128.0,938.0
129.0,936.0
130.0,949.0
131.0,950.0
132.0,941.0
133.0,924.0
134.0,955.0
135.0,949.0
136.0,944.0
137.0,916.0
138.0,938.0
139.0,940.0
140.0,926.0
141.0,951.0
142.0,948.0
143.0,926.0
144.0,947.0
145.0,934.0
146.0,939.0
147.0,928.0
148.0,958.0
149.0,935.0
150.0,935.0
151.0,948.0
152.0,921.0
153.0,925.0
154.0,939.0
155.0,952.0
156.0,927.0
157.0,953.0
158.0,940.0
159.0,957.0
160.0,950.0
161.0,931.0
162.0,937.0
163.0,936.0
164.0,945.0
165.0,943.0
166.0,941.0
167.0,927.0
168.0,939.0
169.0,960.0
170.0,939.0
171.0,937.0
172.0,930.0
173.0,932.0
174.0,932.0
175.0,943.0
176.0,930.0
177.0,937.0
178.0,936.0
179.0,919.0
180.0,941.0
181.0,946.0
182.0,948.0
183.0,937.0
184.0,943.0
185.0,954.0
186.0,936.0
187.0,939.0
